scenario,policy,episodes,breach_episodes,max_T_C,mean_effort_fraction,interval_misses,invalid_steps,clipped_steps
no_delay,fixed_cap,20,0,83.72742867969592,0.6792452830188792,0,0,0
no_delay,threshold,20,0,93.5873822010125,0.8975062893081718,0,0,0
no_delay,nominal_queue,20,8,148.35659146241798,0.9999999999999958,0,0,5804
no_delay,interval_no_queue,20,0,101.4251604553486,0.9553616352201223,0,0,4002
no_delay,interval_queue,20,0,101.4251604553486,0.9553616352201223,0,0,4002
delay_8,fixed_cap,20,0,83.72742867969592,0.6732075471698223,0,0,0
delay_8,threshold,20,0,96.91401290350868,0.8851949685534553,0,0,172
delay_8,nominal_queue,20,8,148.34620761630094,0.9934591194968514,0,0,5662
delay_8,interval_no_queue,20,0,104.17899712713864,0.5874433962264132,0,7472,332
delay_8,interval_queue,20,0,101.35211814478168,0.9468993710691794,0,0,2908
delay_20,fixed_cap,20,0,83.72742867969592,0.6641509433962371,0,0,0
delay_20,threshold,20,0,101.5874942515242,0.867657232704399,0,0,867
delay_20,nominal_queue,20,8,148.38985212434307,0.9836477987421347,0,0,5468
delay_20,interval_no_queue,20,2,108.01751278333508,0.5946761006289291,0,7272,482
delay_20,interval_queue,20,0,100.64021989193138,0.9344559748427648,0,0,1983
dropout_60,fixed_cap,20,0,83.72742867969592,0.6732075471698223,0,0,0
dropout_60,threshold,20,0,96.97297487115371,0.8210283018867888,0,0,132
dropout_60,nominal_queue,20,8,148.34620761630094,0.9934591194968514,0,0,5099
dropout_60,interval_no_queue,20,0,104.17899712713864,0.27472012578616406,0,13124,271
dropout_60,interval_queue,20,0,101.40257684690643,0.9401415094339592,0,0,2267
hot_start,fixed_cap,20,0,99.40159225115144,0.6732075471698223,0,0,116
hot_start,threshold,20,0,99.40159225115144,0.861672955974839,0,0,288
hot_start,nominal_queue,20,8,148.39658403163037,0.9934591194968514,0,0,6659
hot_start,interval_no_queue,20,0,104.183648996015,0.5170817610062872,0,8674,441
hot_start,interval_queue,20,0,101.28535432204782,0.9405125786163493,0,0,3366
upper_corner,fixed_cap,20,0,101.1266530307496,0.6641509433962371,0,0,10603
upper_corner,threshold,20,20,106.17863099929038,0.4204182389937111,0,0,4242
upper_corner,nominal_queue,20,20,203.51733219612478,0.9836477987421347,0,0,15389
upper_corner,interval_no_queue,20,20,116.23192633051885,0.08826100628930818,0,16593,1872
upper_corner,interval_queue,20,0,104.99997190667195,0.7049559748427721,0,0,15389
model_violation,fixed_cap,20,0,83.72742867969592,0.19094339622641418,12962,12940,0
model_violation,threshold,20,0,97.65283491090041,0.24642452830188763,12978,12967,78
model_violation,nominal_queue,20,3,505.91329634435544,0.33670440251572364,12912,11670,2247
model_violation,interval_no_queue,20,0,104.17899712713864,0.20210691823899424,10987,14281,277
model_violation,interval_queue,20,0,103.68751720960121,0.2579622641509442,12978,12967,581
stuck_low,fixed_cap,20,0,83.72742867969592,0.2371320754716984,1218,11700,0
stuck_low,threshold,20,0,96.91401290350868,0.24887735849056689,97,12928,39
stuck_low,nominal_queue,20,3,123.18470681225168,0.2661635220125795,97,12928,892
stuck_low,interval_no_queue,20,0,104.17899712713864,0.20537735849056657,97,14229,277
stuck_low,interval_queue,20,0,101.19244361960983,0.2604150943396234,97,12928,438
queue_mismatch,fixed_cap,20,0,88.47811318269223,0.21408805031446457,1480,12933,0
queue_mismatch,threshold,20,0,96.91401290350868,0.8851949685534553,0,0,172
queue_mismatch,nominal_queue,20,8,148.34620761630094,0.9934591194968514,0,0,5662
queue_mismatch,interval_no_queue,20,0,104.17899712713864,0.6000220125786144,193,7472,332
queue_mismatch,interval_queue,20,0,101.35211814478168,0.9468993710691794,0,0,2908
