policy,episodes,breaches,effort,maxT
fixed_cap,120,0,0.6711949685534702,101.1266530307496
threshold,120,20,0.792246331236894,106.17863099929038
nominal_queue,120,60,0.9912788259958032,203.51733219612478
interval_no_queue,120,22,0.5029240041928706,116.23192633051885
interval_queue,120,0,0.9037211740041912,104.99997190667195
