scenario,seed,policy,k,true_T_C,reading_C,requested,accepted,applied,acknowledged,decision_id,cumulative_effort,lo_C,hi_C,valid,reason,predicted_peak_C,pending_json,next_T_C,interval_miss,breach
delay_20,4000,interval_queue,15,73.23117766576942,73.23982785314706,1.0,1.0,0.0,0.0,16,0.0,72.93982785314707,73.53982785314706,1,,84.13247582365838,"[0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",72.72089701545774,0,0
delay_20,4000,interval_queue,16,72.72089701545774,72.42353641835506,1.0,1.0,0.0,0.0,17,0.0,72.22073043534985,72.72353641835505,1,,84.27452673349701,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",72.23769046506487,0,0
delay_20,4000,interval_queue,17,72.23769046506487,72.0458387049991,1.0,1.0,0.0,0.0,18,0.0,71.7458387049991,72.3458387049991,1,,84.8069664151055,"[0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",71.74056543596689,0,0
delay_20,4000,interval_queue,18,71.74056543596689,71.50234058489077,1.0,1.0,0.0,0.0,19,0.0,71.20234058489078,71.80234058489077,1,,85.18580923183522,"[0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",71.24419716377102,0,0
delay_20,4000,interval_queue,19,71.24419716377102,71.52275684406277,1.0,1.0,0.0,0.0,20,0.0,71.22275684406277,71.60832888196632,1,,85.87488018567605,"[0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",70.76721373824961,0,0
delay_20,4000,interval_queue,20,70.76721373824961,70.5719228542365,1.0,1.0,1.0,1.0,21,1.0,70.52941549140183,70.8719228542365,1,,86.07143033456724,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",70.99923649662117,0,0
delay_20,4000,interval_queue,21,70.99923649662117,70.97563346081868,1.0,1.0,1.0,1.0,22,2.0,70.67563346081869,71.27563346081868,1,,86.43480517605096,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",71.21815074812349,0,0
delay_20,4000,interval_queue,22,71.21815074812349,70.97499921402571,1.0,1.0,1.0,1.0,23,3.0,70.67499921402572,71.27499921402571,1,,86.43423429848642,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",71.4423751047251,0,0
delay_20,4000,interval_queue,23,71.4423751047251,71.68170752555403,1.0,1.0,1.0,1.0,24,4.0,71.38170752555403,71.98170752555403,1,,87.07033356486662,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",71.67577771929788,0,0
delay_20,4000,interval_queue,24,71.67577771929788,71.37869660121507,1.0,1.0,1.0,1.0,25,5.0,71.23598191267072,71.67869660121507,1,,86.79759724136083,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",71.91063956878443,0,0
delay_20,4000,interval_queue,25,71.91063956878443,71.79327439814912,1.0,1.0,1.0,1.0,26,6.0,71.49327439814913,72.09327439814912,1,,87.17075350425658,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",72.12200198472274,0,0
delay_20,4000,interval_queue,26,72.12200198472274,71.85589387114669,1.0,1.0,1.0,1.0,27,7.0,71.5558938711467,72.15589387114669,1,,87.22711650464176,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",72.3347080374751,0,0
delay_20,4000,interval_queue,27,72.3347080374751,72.18236214437623,1.0,1.0,1.0,1.0,28,8.0,71.88236214437623,72.48236214437622,1,,87.52096649297512,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",72.54907613103785,0,0
delay_20,4000,interval_queue,28,72.54907613103785,72.82768454730093,1.0,1.0,1.0,1.0,29,9.0,72.52768454730094,73.12768454730093,1,,88.10181307477261,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",72.78463312202736,0,0
delay_20,4000,interval_queue,29,72.78463312202736,72.55543119797576,1.0,1.0,1.0,1.0,30,10.0,72.36476927909142,72.85543119797576,1,,87.85676125784866,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",73.01535180199829,0,0
delay_20,4000,interval_queue,30,73.01535180199829,73.30967007691872,1.0,1.0,1.0,1.0,31,11.0,73.00967007691872,73.60615404198589,1,,88.5324774515594,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",73.22103920494246,0,0
delay_20,4000,interval_queue,31,73.22103920494246,73.42028988442856,1.0,1.0,1.0,1.0,32,12.0,73.12028988442856,73.72028988442855,1,,88.63520968841176,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",73.42729402335303,0,0
delay_20,4000,interval_queue,32,73.42729402335303,73.37672246672662,1.0,1.0,1.0,1.0,33,13.0,73.07672246672662,73.67672246672662,1,,88.59599520347335,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",73.64103091881523,0,0
delay_20,4000,interval_queue,33,73.64103091881523,73.55654970159043,1.0,1.0,1.0,1.0,34,14.0,73.25654970159043,73.85654970159042,1,,88.75785543676346,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",73.84448437246353,0,0
delay_20,4000,interval_queue,34,73.84448437246353,73.61900950983727,1.0,1.0,1.0,1.0,35,15.0,73.31900950983727,73.91900950983727,1,,88.81407472491381,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",74.04609443152724,0,0
delay_20,4000,interval_queue,35,74.04609443152724,74.17548059211589,1.0,1.0,1.0,1.0,36,16.0,73.87548059211589,74.47548059211589,1,,89.31494735004783,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",74.234939458888,0,0
delay_20,4000,interval_queue,36,74.234939458888,74.39789703508113,1.0,1.0,1.0,1.0,37,17.0,74.09789703508113,74.69789703508113,1,,89.51514159411313,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",74.42383667004961,0,0
delay_20,4000,interval_queue,37,74.42383667004961,74.30233801126943,1.0,1.0,1.0,1.0,38,18.0,74.00233801126943,74.60233801126942,1,,89.4291301181604,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",74.63555792657394,0,0
delay_20,4000,interval_queue,38,74.63555792657394,74.43644436034184,1.0,1.0,1.0,1.0,39,19.0,74.13644436034184,74.73644436034184,1,,89.54983755695845,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",74.83973852531224,0,0
delay_20,4000,interval_queue,39,74.83973852531224,74.61020415211985,1.0,1.0,1.0,1.0,40,20.0,74.31020415211985,74.91020415211985,1,,89.70623656100771,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",75.03702926978585,0,0
