scenario,seed,policy,in_contract,max_T_C,breach_steps,interval_misses,invalid_steps,effort_fraction,clipped_steps,missing_steps
upper_corner,4000,interval_no_queue,True,116.19645931903466,49,0,837,0.07905660377358491,94,78
upper_corner,4000,interval_exact_clip,True,176.20654787661408,833,853,0,0.897484276729558,775,78
upper_corner,4001,interval_queue,True,104.99995009096612,0,0,0,0.6994968553459167,776,81
upper_corner,4001,interval_no_queue,True,116.17925469730325,49,0,841,0.0740251572327044,95,81
upper_corner,4001,interval_exact_clip,True,176.31766418259798,837,857,0,0.8974842767295594,776,81
upper_corner,4002,interval_queue,True,104.99967165288385,0,0,0,0.7044654088050363,773,74
upper_corner,4002,interval_no_queue,True,116.17474477792014,49,0,831,0.08672955974842768,95,74
upper_corner,4002,interval_exact_clip,True,176.14790121948187,826,846,0,0.898616352201256,773,74
upper_corner,4003,interval_queue,True,104.99981955251775,0,0,0,0.7025786163522059,766,86
upper_corner,4003,interval_no_queue,True,116.1901759648383,49,0,835,0.08169811320754718,90,86
upper_corner,4003,interval_exact_clip,True,176.17332555058942,830,850,0,0.8971698113207536,766,86
upper_corner,4004,interval_queue,True,104.9998337131663,0,0,0,0.7069182389937155,769,74
upper_corner,4004,interval_no_queue,True,116.17281668763052,49,0,826,0.0930188679245283,94,74
upper_corner,4004,interval_exact_clip,True,176.3902235434685,821,841,0,0.8991823899371065,769,74
upper_corner,4005,interval_queue,True,104.99968891613689,0,0,0,0.7060377358490614,764,80
upper_corner,4005,interval_no_queue,True,116.19757026444422,49,0,827,0.09144654088050315,94,80
upper_corner,4005,interval_exact_clip,True,176.5824531842075,823,843,0,0.8989937106918234,764,80
upper_corner,4006,interval_queue,True,104.99988564938351,0,0,0,0.7064150943396273,766,78
upper_corner,4006,interval_no_queue,True,116.23404383520987,49,0,826,0.09257861635220126,93,78
upper_corner,4006,interval_exact_clip,True,176.30381860887744,822,842,0,0.8989308176100604,766,78
upper_corner,4007,interval_queue,True,104.99965400414108,0,0,0,0.7015723270440298,774,81
upper_corner,4007,interval_no_queue,True,116.2173168000807,49,0,837,0.07918238993710693,91,81
upper_corner,4007,interval_exact_clip,True,176.09344831778384,832,852,0,0.8964779874213824,774,81
